id,case_id,title,source,url,date,snippet,block,narrative_stage,source_type_scale,article_tone,situation_presentation,forecast_presence,forecast_type,forecast_detail_level,hash
ns_int_076,nord_stream,German investigators identify all suspects in Nord Stream pipeline ...,Novayagazeta,https://novayagazeta.eu/articles/2025/08/28/german-investigators-identify-all-suspects-in-nord-stream-pipeline-explosion-en-news,2025-08-28,German investigators identify all suspects in Nord Stream pipeline ...,international,N3,0.5,informational,neutral,False,,,ec33b4c9109f
ns_int_066,nord_stream,Methane leaks from Nord Stream pipeline blasts revised up: studies,France 24,https://www.france24.com/en/live-news/20250115-methane-leaks-from-nord-stream-pipeline-blasts-revised-up-studies,2022-2024,Methane leaks from Nord Stream pipeline blasts revised up: studies,international,N1,0.5,informational,neutral,False,,,d22a975b4adc
ns_int_065,nord_stream,Pipeline blasts released record-shattering amount of methane ... - UNEP,Unep,https://www.unep.org/news-and-stories/story/pipeline-blasts-released-record-shattering-amount-methane-unep-study,2022-2024,Pipeline blasts released record-shattering amount of methane ... - UNEP,international,N1,0.5,informational,neutral,False,,,eb7757445014
ns_int_048,nord_stream,Germany Issues Warrant for Ukrainian Diver for Nord Stream Attack,Maritime-Executive,https://maritime-executive.com/article/germany-issues-warrant-for-ukrainian-diver-for-nord-stream-attack,2022-2024,Germany Issues Warrant for Ukrainian Diver for Nord Stream Attack,international,N3,0.5,informational,neutral,False,,,1b74346252e4
ns_int_083,nord_stream,Russia demands UN meeting on Nord Stream attack,Nordictimes,https://nordictimes.com/world/russia-demands-un-meeting-on-nord-stream-attack/,2022-2024,Russia demands UN meeting on Nord Stream attack,international,N2,0.5,informational,neutral,False,,,f6bdf160a113
ns_int_002,nord_stream,Methane plume detection after the 2022 Nord Stream pipeline explosion ...,Nature,https://www.nature.com/articles/s41598-024-63449-2,2022-2024,Methane plume detection after the 2022 Nord Stream pipeline explosion ...,international,N1,0.5,informational,neutral,False,,,be8f131bef07
ns_int_123,nord_stream,Denmark drops investigation into Nord Stream pipeline blasts,The Guardian,https://www.theguardian.com/business/2024/feb/26/denmark-drops-investigation-nord-stream-pipeline-blasts,2022-2024,Denmark drops investigation into Nord Stream pipeline blasts,international,N2,0.8,informational,neutral,False,,,3a9a0ba110b5
ns_int_052,nord_stream,Nord Stream blast &#x27;blew away 50 metres of pipe&#x27; - BBC News,BBC,https://www.bbc.com/news/world-europe-63297085,2022-2024,Nord Stream blast &#x27;blew away 50 metres of pipe&#x27; - BBC News,international,N1,0.8,informational,neutral,False,,,768cf136cb5e
ns_int_061,nord_stream,Ukrainer wegen Anschlags auf Nord Stream festgenommen,Süddeutsche Zeitung,https://www.sueddeutsche.de/politik/zerstoerte-gaspipeline-ukrainer-wegen-anschlags-auf-nord-stream-festgenommen-li.3301436,2022-2024,Ukrainer wegen Anschlags auf Nord Stream festgenommen,international,N2,0.5,informational,neutral,False,,,8d5043e9caf2
ns_int_045,nord_stream,Germany issues arrest warrants for 6 Ukrainians in Nord Stream attack ...,En,https://en.interfax.com.ua/news/general/1099964.html,2022-2024,Germany issues arrest warrants for 6 Ukrainians in Nord Stream attack ...,international,N3,0.5,informational,neutral,False,,,a95d42c0c982
ns_int_043,nord_stream,Ukrainian man arrested in Italy over 2022 Nord Stream gas pipeline ...,Cbsnews,https://www.cbsnews.com/news/nord-stream-gas-pipeline-sabotage-ukrainian-arrest-germany-announces/,2022-2024,Ukrainian man arrested in Italy over 2022 Nord Stream gas pipeline ...,international,N3,0.5,informational,neutral,False,,,d0b0f018e824
ns_int_151,nord_stream,Ukrainian Suspected of Leading Nord Stream Sabotage Arrested in Italy,Wall Street Journal,https://www.wsj.com/world/europe/ukrainian-suspected-of-leading-nord-stream-sabotage-arrested-in-italy-3f648838,2022-2024,Ukrainian Suspected of Leading Nord Stream Sabotage Arrested in Italy,international,N3,0.8,informational,neutral,False,,,0c85325af4dd
ns_int_085,nord_stream,The United Kingdom remains deeply concerned about the sabotage of the ...,Gov,https://www.gov.uk/government/speeches/the-united-kingdom-remains-deeply-concerned-about-the-sabotage-of-the-nord-stream-pipelines-uk-statement-at-the-un-security-council,2022-2024,The United Kingdom remains deeply concerned about the sabotage of the ...,international,N1,0.5,informational,neutral,False,,,34de6b7d3261
ns_int_030,nord_stream,Nord Stream sabotage probe turns to Andromeda yacht clues,Euractiv,https://www.euractiv.com/news/nord-stream-sabotage-probe-turns-to-andromeda-yacht-clues/,2022-2024,Nord Stream sabotage probe turns to Andromeda yacht clues,international,N3,0.5,informational,neutral,False,,,69f8eea381ff
ns_int_090,nord_stream,A global mystery: What&#x27;s known about Nord Stream explosions,Associated Press,https://apnews.com/article/us-germany-russia-denmark-ukraine-gas-pipeline-attack-nord-stream-2561f98ba6462db700f7609352a28c24,2022-2024,A global mystery: What&#x27;s known about Nord Stream explosions,international,N1,0.8,informational,neutral,False,,,5d5d21ead84b
ns_int_012,nord_stream,"Who sabotaged Nord Stream? 3 years on, investigations offer more ...",Kyivindependent,https://kyivindependent.com/who-sabotaged-nord-stream-3-years-on-investigations-offer-more-questions-than-answers/,2022-2024,"Who sabotaged Nord Stream? 3 years on, investigations offer more ...",international,N2,0.5,informational,neutral,False,,,9beddf08ffdf
ns_int_140,nord_stream,Ukrainian suspect arrested 3 years after alleged Nord Stream pipelines ...,Washington Post,https://www.washingtonpost.com/world/2025/08/21/nord-stream-arrest-suspect-ukrainian-pipeline/,2025-08-21,Ukrainian suspect arrested 3 years after alleged Nord Stream pipelines ...,international,N3,0.8,informational,neutral,False,,,9669854f1204
ns_int_059,nord_stream,Nord-Stream-Sabotage: Festnahme in Rimini - wer ist Serhij K.?,Süddeutsche Zeitung,https://www.sueddeutsche.de/politik/nordstream-sabotage-andromeda-pipeline-ostsee-ukraine-li.3302057,2022-2024,Nord-Stream-Sabotage: Festnahme in Rimini - wer ist Serhij K.?,international,N1,0.5,informational,neutral,False,,,f26cc9cdcce2
ns_int_026,nord_stream,Reporter Seymour Hersh on &quot;How America Took Out the Nord Stream ...,Armwoodopinion,https://www.armwoodopinion.com/2023/02/reporter-seymour-hersh-on-how-america.html,2022-2024,Reporter Seymour Hersh on &quot;How America Took Out the Nord Stream ...,international,N2,0.5,informational,neutral,False,,,d4b00b1479df
